ROWNO,LEGACY_CODE_NO,SPOT_NM,SPOT_STD_CODE,INFO_CREAT_INSTT_NM,CL_MIDDLE_NM,CL_SMALL_NM,DO_NM,CTY_NM,ADRES,ADMCODE,CRDNT_X,CRDNT_Y,ABL_AT,ABL_DE,DAY_AVG,CHARGE,INS_DATE,DEL_YN,OFFICE,OFFICE_TEL,BUILDING_NO,LOC_JIBUN,COMMT,YYYY,PERIOD,INSP_CHECK,UN_INSP_DESC,ACCEPT_YN,SUIT,UNSUIT,ITEM_GENBACLOW,ITEM_GENBACMID,ITEM_TOTBAC,ITEM_BAC,ITEM_FESTR,ITEM_BRANFUNGUS,ITEM_GRGUNGUS,ITEM_SALMOL,ITEM_SEGEL,ITEM_SULFUNGUS,ITEM_YERSINIA,ITEM_PB,ITEM_F,ITEM_GAS,ITEM_SE,ITEM_HG,ITEM_CN,ITEM_CR6,ITEM_NO3AM,ITEM_NO3N,ITEM_CD,ITEM_BORON,ITEM_BRO3,ITEM_PHENOL,ITEM_DIAZN,ITEM_PARAT,ITEM_PENITRO,ITEM_CARBARYL,ITEM_TCET,ITEM_TECE,ITEM_TCE,ITEM_DCM,ITEM_BENZENE,ITEM_TOLUENE,ITEM_ETILBEN,ITEM_XYLENE,ITEM_DCE,ITEM_CCL4,ITEM_DBCP,ITEM_C4H8O2,ITEM_GRADIENT,ITEM_KMN,ITEM_SMELL,ITEM_COLOR,ITEM_CU,ITEM_ABS,ITEM_PH,ITEM_ZN,ITEM_CL,ITEM_FE,ITEM_MN,ITEM_MUDDY,ITEM_SO42,ITEM_AL,ITEM_URAN,INSP_RST,FAIL_DESC,SAMP_DATE 
4331,PUB_2635,마봉약수터,46820E060000002,전남,,,전라남도,해남군,전라남도 해남군 송지면 95-9,4682034000,,,N,,85,김민주,19930701,N,상하수도사업소,061-530-3680,,,,2017,4/4,검사,,적합,22,0,1,,불검출,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2017-12-05
4332,PUB_2636,신덕약수터,46820E060000003,전남,,,전라남도,해남군,전라남도 해남군 화원면 357-3,4682043000,,,N,,100,김민주,19930601,N,상하수도사업소,061-530-3680,,,,2017,4/4,검사,,적합,22,0,1,,불검출,0,0,,,,,,,,,,,,,,0,6,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2017-12-05
4333,PUB_2637,오소재약수터,46820E060000004,전남,,,전라남도,해남군,전라남도 해남군 북일면 117-8,4682036000,,,N,,350,김민주,19940911,N,상하수도사업소,061-530-3680,,,,2017,4/4,검사,,적합,22,0,2,,불검출,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2017-12-05
4334,PUB_2638,송호약수터,46820E060000005,전남,,,전라남도,해남군,전라남도 해남군 송지면 963-1,4682034000,,,N,,100,김민주,19970915,N,상하수도사업소,061-530-3680,,,,2017,4/4,검사,,적합,22,0,6,,불검출,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2017-12-05
4335,PUB_2641,탑동약수터,46830E060000001,전남,,,전라남도,영암군,전라남도 영암군 영암읍 망호리,4683025030,,,N,,25,서충렬,19720101,N,수도사업소,061-470-2408,,,,2017,4/4,검사,,적합,22,0,,불검출,불검출,,불검출,,,,,,,,,,,,,,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,2017-12-28
4336,PUB_2745,경운사(하),48250E060000004,경남,,,경상남도,김해시,경상남도 김해시 외동 824,4825010900,,,N,,300,경상남도담당자,19990101,N,수도과,055-330-3884,,,,2018,4/4,검사,,적합,22,0,,3,불검출,,불검출,,,,,,,,,,,,,,0,1.9,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,2018-12-03
4337,PUB_2746,물망골,48250E060000005,경남,,,경상남도,김해시,경상남도 김해시 구산동 638,4825010600,,,N,,100,경상남도담당자,19990101,N,수도과,055-330-3884,,,,2018,4/4,검사,,적합,22,0,,11,불검출,,불검출,,,,,,,,,,,,,,0,6.3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2018-12-03
4338,PUB_2747,광장,48250E060000006,경남,,,경상남도,김해시,경상남도 김해시 삼방동 120-1,4825011900,,,N,,300,경상남도담당자,19990101,N,수도과,055-330-3884,,,,2018,4/4,검사,,적합,22,0,,36,불검출,,불검출,,,,,,,,,,,,,,0,0.8,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,2018-12-03
4339,PUB_2748,남재골,48250E060000007,경남,,,경상남도,김해시,경상남도 김해시 동상동 1-2,4825010100,,,N,,100,경상남도담당자,19990101,N,수도과,055-330-3884,,,,2018,4/4,검사,,부적합,14,8,,52,검출,,검출,,,,,,,,,,,,,,0,1.4,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,," 총대장균군(검출), 분원성대장균군(검출)",,2018-12-03
4340,PUB_2749,일운약수터,48310E060000001,경남,,,경상남도,거제시,경상남도 거제시 일운면 34-15,4831031000,,,N,,200,경상남도담당자,,N,상하수도과,055-639-4895,,,,2018,4/4,검사,,적합,22,0,,0,불검출,불검출,불검출,,,,,,,,,,,,,,불검출,1.8,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,2018-11-14
4341,PUB_2751,참샘약수터,48310E060000003,경남,,,경상남도,거제시,경상남도 거제시 연초면 83,4831037000,,,N,,10,경상남도담당자,,N,상하수도과,055-639-4895,,,,2018,4/4,검사,,적합,22,0,,0,불검출,불검출,불검출,,,,,,,,,,,,,,불검출,1.7,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,2018-11-14
4342,PUB_2752,앵산약수터,48310E060000004,경남,,,경상남도,거제시,경상남도 거제시 하청면 127-1,4831038000,,,N,,100,경상남도담당자,,N,상하수도과,055-639-4895,,,,2018,4/4,검사,,적합,22,0,,0,불검출,불검출,불검출,,,,,,,,,,,,,,불검출,1.4,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,2018-11-14
4343,PUB_2753,힐사이드약수터,48310E060000005,경남,,,경상남도,거제시,경상남도 거제시 옥포동 1230-1,4831010600,,,N,,100,경상남도담당자,,N,상하수도과,055-639-4895,,,,2018,4/4,검사,,적합,22,0,,0,불검출,불검출,불검출,,,,,,,,,,,,,,불검출,1.4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2018-11-14
4344,PUB_2754,선창샘,48310E060000006,경남,,,경상남도,거제시,경상남도 거제시 둔덕면 363-1,4831035000,,,N,,20,경상남도담당자,,N,상하수도과,055-639-4895,,,,2018,4/4,검사,,적합,22,0,,0,불검출,불검출,불검출,,,,,,,,,,,,,,불검출,1.4,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,2018-11-14
4345,PUB_2756,독봉산약수터,48310E060000008,경남,,,경상남도,거제시,경상남도 거제시 고현동 340,4831010900,,,N,,50,경상남도담당자,,N,상하수도과,055-639-4895,,,,2018,4/4,검사,,부적합,10,12,,140,검출,검출,검출,,,,,,,,,,,,,,불검출,2.1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,," 대장균(검출), 총대장균군(검출), 분원성대장균군(검출)",,2018-12-03
4346,PUB_2757,신기산성약수터,48330E060000001,경남,,,경상남도,양산시,경상남도 양산시 신기동 20,4833010600,,,N,,60,경상남도담당자,20051220,N,수도과,055-392-5416,,,,2018,4/4,검사,,적합,22,0,0,,불검출,,0,,,,,,,,,,,,,,0,0.4,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,2018-10-26
4347,PUB_2759,북정약수터,48330E060000003,경남,,,경상남도,양산시,경상남도 양산시 북정동 35,4833010700,,,N,,60,경상남도담당자,20051220,N,수도과,055-392-5416,,,,2018,4/4,검사,,적합,22,0,0,,불검출,,0,,,,,,,,,,,,,,0,1.7,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,2018-10-17
4348,PUB_2760,평산공동우물,48330E060000004,경남,,,경상남도,양산시,경상남도 양산시 하북면 265-2,4833034000,,,N,,70,경상남도담당자,20051220,N,수도과,055-392-5416,,,,2018,4/4,검사,,적합,22,0,3,,불검출,,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,2018-10-16
4349,PUB_2761,찬물샘약수터,48250E060000008,경남,,,경상남도,양산시,경상남도 양산시 원동면 69-12,4833032000,,,N,,60,경상남도담당자,20051220,N,수도과,055-392-5416,,,,2018,4/4,검사,,부적합,14,8,4,,검출,,검출,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,," 총대장균군(검출), 분원성대장균군(검출)",약수터 청소 및 소독(적합),2018-10-17
4350,PUB_2762,천정약수터,48250E060000009,경남,,,경상남도,양산시,경상남도 양산시 주진동 75-3,4833011800,,,N,,70,경상남도담당자,20051220,N,수도과,055-392-5416,,,,2018,4/4,검사,,부적합,14,8,6,,검출,,검출,,,,,,,,,,,,,,0,0.3,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,"총대장균군(검출), 분원성대장균군(검출)",약수터 청소 및 소독,2018-10-10
4351,PUB_2765,자하곡,48740E060000001,경남,,,경상남도,창녕군,경상남도 창녕군 창녕읍 2-1,4874025000,,,N,,150,경상남도담당자,19840101,N,주택산림과,055-530-1662,,,,2018,4/4,검사,,적합,22,0,,0,불검출,,불검출,,,,,,,,,,,,,,불검출,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,2018-11-29
4352,PUB_2766,함박산,48740E060000002,경남,,,경상남도,창녕군,경상남도 창녕군 영산면 38,4874038000,,,N,,50,경상남도담당자,19820101,N,주택산림과,055-530-1662,,,,2018,4/4,검사,,적합,22,0,,0,불검출,,불검출,,,,,,,,,,,,,,불검출,0.7,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,2018-11-29
4353,PUB_2767,남산약수터,48820E060000001,경남,,,경상남도,고성군,경상남도 고성군 고성읍 369-2,4882025000,,,N,,100,경상남도담당자,19960129,N,상하수도사업소,055-670-4415,,,,2018,4/4,검사,,적합,22,0,,60,불검출,,불검출,,,,,,,,,,,,,,불검출,1.6,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,2018-12-10
4354,PUB_2768,연화산약수터,48820E060000002,경남,,,경상남도,고성군,경상남도 고성군 영현면 ,4882036000,,,N,,50,경상남도담당자,19980925,N,상하수도사업소,055-670-4415,,,,2018,4/4,검사,,적합,22,0,,0,불검출,,불검출,,,,,,,,,,,,,,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2018-12-10
4355,PUB_2771,금강도,48860E060000001,경남,,,경상남도,산청군,경상남도 산청군 산청읍 108,4886025000,,,N,,140,경상남도담당자,19950712,N,상하수도사업소,055-970-7002,,,,2018,4/4,검사,,적합,22,0,,0,불검출,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-07
4356,PUB_2290,계족산,30230E060000002,대전,,,대전광역시,대덕구,대전광역시 대덕구 법동 17,3023010800,,,N,,200,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,4/4,검사,,부적합,21,1,6,,검출,,불검출,,,,,,,,,,,,,,불검출,6.6,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,총대장균군(검출),사용중지소독,2017-11-28
4357,PUB_2291,쌍옷샘(상),30230E060000003,대전,,,대전광역시,대덕구,대전광역시 대덕구 법동 14-1,3023010800,,,N,,200,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,4/4,검사,,적합,22,0,22,,불검출,,불검출,,,,,,,,,,,,,,불검출,7.7,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,2017-11-28
4358,PUB_2292,쌍옷샘(하),30230E060000004,대전,,,대전광역시,대덕구,대전광역시 대덕구 법동 14-1,3023010800,,,N,,200,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,4/4,검사,,적합,22,0,1,,불검출,,불검출,,,,,,,,,,,,,,불검출,8.2,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,2017-11-28
4359,PUB_2293,비래사,30230E060000005,대전,,,대전광역시,대덕구,대전광역시 대덕구 비래동 1-15,3023011000,,,N,,500,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,4/4,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,1.4,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,2017-11-28
4360,PUB_2294,밭탕골,30230E060000006,대전,,,대전광역시,대덕구,대전광역시 대덕구 비래동 34-19,3023011000,,,N,,1200,대전시담당자,19890101,N,환경관리팀,042-608-6811,,,,2017,4/4,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,3.4,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,2017-11-28
4361,PUB_2295,안산,30230E060000007,대전,,,대전광역시,대덕구,대전광역시 대덕구 법동 284-2,3023010800,,,N,,500,대전시담당자,19910101,N,환경관리팀,042-608-6811,,,,2017,4/4,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,0.6,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,2017-11-28
4362,PUB_2296,구봉,30230E060000008,대전,,,대전광역시,대덕구,대전광역시 대덕구 중리동 388-17,3023010900,,,N,,500,대전시담당자,19920101,N,환경관리팀,042-608-6811,,,,2017,4/4,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,0.6,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,2017-11-28
4363,PUB_2297,우족산,30230E060000009,대전,,,대전광역시,대덕구,대전광역시 대덕구 비래동 8-4,3023011000,,,N,,500,대전시담당자,19890101,N,환경관리팀,042-608-6811,,,,2017,4/4,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,0.5,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,2017-11-28
4364,PUB_2298,남도,30230E060000010,대전,,,대전광역시,대덕구,대전광역시 대덕구 비래동 8-4,3023011000,,,N,,500,대전시담당자,19890101,N,환경관리팀,042-608-6811,,,,2017,4/4,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,1,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,2017-11-28
4365,PUB_2299,대철,30230E060000011,대전,,,대전광역시,대덕구,대전광역시 대덕구 평촌동 1,3023011700,,,N,,200,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,4/4,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,3,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,2017-11-28
4366,PUB_3412,장수,11620E060000018,서울,,,서울특별시,관악구,서울특별시 관악구 신림동 114-3,1162010200,,,N,,100,서울시담당자,,N,,,,,,2017,7월,검사,,부적합,6,1,13,,검출,,불검출,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,총대장균군(검출),사용금지 안내문 부착 및 주변 청소,2017-07-24
4367,PUB_3413,제1약수,11620E060000019,서울,,,서울특별시,관악구,서울특별시 관악구 신림동 57-13,1162010200,,,N,,150,서울시담당자,,N,,,,,,2017,7월,검사,,부적합,5,2,78,,검출,,검출,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,0.29,,총대장균군(검출) 분원성대장균군(검출),사용금지 안내문 부착 및 주변 청소,2017-07-24
4368,PUB_3414,천지,11620E060000020,서울,,,서울특별시,관악구,서울특별시 관악구 봉천동 4-9,1162010100,,,N,,150,서울시담당자,,N,,,,,,2017,7월,검사,,부적합,6,1,21,,검출,,불검출,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,총대장균군(검출),사용금지 안내문 부착 및 주변 청소,2017-07-24
4369,PUB_3415,청룡,11620E060000021,서울,,,서울특별시,관악구,서울특별시 관악구 신림동 68-3,1162010200,,,N,,200,서울시담당자,,N,,,,,,2017,7월,검사,,부적합,5,2,42,,검출,,검출,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,총대장균군(검출) 분원성대장균군(검출),사용금지 안내문 부착 및 주변 청소,2017-07-24
4370,PUB_3416,폭포수(1),11620E060000022,서울,,,서울특별시,관악구,서울특별시 관악구 신림동 50-21,1162010200,,,N,,100,서울시담당자,,N,,,,,,2017,7월,검사,,부적합,5,2,12,,검출,,검출,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,0.31,,총대장균군(검출) 분원성대장균군(검출),사용금지 안내문 부착 및 주변 청소,2017-07-24
4371,PUB_3418,상봉,11620E060000024,서울,,,서울특별시,관악구,서울특별시 관악구 봉천동 4-9,1162010100,,,N,,100,서울시 담당자,,N,,,,,,2017,7월,검사,,부적합,4,3,101,,검출,,검출,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,총대장균군(검출) 분원성대장균군(검출) 일반세균(101.0),사용금지 안내문 부착 및 주변 청소,2017-07-24
4372,PUB_3420,청룡산,11620E060000026,서울,,,서울특별시,관악구,서울특별시 관악구 봉천동 175-36,1162010100,,,N,,150,서울시 담당자,,N,,,,,,2017,7월,검사,,부적합,5,2,30,,검출,,검출,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,총대장균군(검출) 분원성대장균군(검출),사용금지 안내문 부착 및 주변 청소,2017-07-24
4373,PUB_3421,태극,11650E060000001,서울,,,서울특별시,서초구,서울특별시 서초구 양재동 11,1165010200,,,N,,350,서울시담당자,,N,,,,,,2017,7월,검사,,부적합,5,2,,4,검출,검출,,,,,,,,,,,,,,,0.04,0.3,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,총대장균군(검출) 대장균(검출),사용금지 안내문 부착 및 주변 청소,2017-07-26
4374,PUB_3422,청계산옹달샘,11650E060000002,서울,,,서울특별시,서초구,서울특별시 서초구 원지동 4-13,1165010400,,,N,,150,서울시담당자,,N,,,,,,2017,7월,검사,,부적합,5,2,,0,검출,검출,,,,,,,,,,,,,,,0.04,0.3,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,총대장균군(검출) 대장균(검출),사용금지 안내문 부착 및 주변 청소,2017-07-26
4375,PUB_3423,청계골,11650E060000003,서울,,,서울특별시,서초구,서울특별시 서초구 원지동 4-58,1165010400,,,N,,150,서울시담당자,,N,,,,,,2017,7월,검사,,부적합,5,2,,0,검출,검출,,,,,,,,,,,,,,,0.04,0.3,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,총대장균군(검출) 대장균(검출),사용금지 안내문 부착 및 주변 청소,2017-07-26
4376,PUB_3424,율림석수,11650E060000004,서울,,,서울특별시,서초구,서울특별시 서초구 방배동 184,1165010100,,,N,,100,서울시담당자,,N,,,,,,2017,7월,검사,,부적합,5,2,,1,검출,검출,,,,,,,,,,,,,,,0.04,0.3,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,총대장균군(검출) 대장균(검출),사용금지 안내문 부착 및 주변 청소,2017-07-26
4377,PUB_2772,밤러리재,48860E060000002,경남,,,경상남도,산청군,경상남도 산청군 삼장면 120,4886035000,,,N,,50,경상남도담당자,19950712,N,상하수도사업소,055-970-7002,,,,2018,4/4,검사,,적합,22,0,,20,불검출,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-14
4378,PUB_2774,청계,48860E060000004,경남,,,경상남도,산청군,경상남도 산청군 단성면 35,4886037000,,,N,,50,경상남도담당자,19950712,N,상하수도사업소,055-970-7002,,,,2018,4/4,검사,,적합,22,0,,0,불검출,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-07
4379,PUB_2744,경운사(상),48250E060000003,경남,,,경상남도,김해시,경상남도 김해시 외동 47,4825010900,,,N,,100,경상남도담당자,19990101,N,수도과,055-330-3884,,,,2018,4/4,검사,,부적합,18,4,,45,검출,,불검출,,,,,,,,,,,,,,0,0.9,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,, 총대장균군(검출),,2018-12-03
4380,PUB_2378,거북샘터,42770E060000003,강원,,,강원도,정선군,강원도 정선군 신동읍 ,4277025900,,,N,,50,강원도담당자,,N,상하수도사업소,033-560-2522,,,,2018,4/4,검사,,부적합,18,4,43,,검출,,불검출,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,, 총대장균군(검출),재검 요청(2019.01중),2018-12-13
4381,PUB_2381,양지말샘터,42770E060000006,강원,,,강원도,정선군,강원도 정선군 여량면 ,4277037000,,,N,,50,강원도담당자,,N,상하수도사업소,033-560-2522,,,,2018,4/4,검사,,적합,22,0,4,,불검출,0,,,,,,,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,불검출,0,1,불검출,8.1,0,3,0,0,0,4,0,0.0012,,,2018-12-11
4382,PUB_2382,숙암샘터,42770E060000007,강원,,,강원도,정선군,강원도 정선군 북평면 ,4277034000,,,N,,100,강원도담당자,,N,상하수도사업소,033-560-2522,,,,2018,4/4,검사,,적합,22,0,2,,불검출,0,,,,,,,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,불검출,0,1,불검출,7.8,0,1,0,0,0,0,0,,,,2018-10-16
4383,PUB_2318,용왕샘터,42110E060000001,강원,,,강원도,춘천시,강원도 춘천시 신북읍 2,4211025000,,,N,,250,강원도담당자,19950327,N,수도과,033-250-4972,,,,2018,4/4,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2018-11-15
4384,PUB_2320,생수가든,42110E060000003,강원,,,강원도,춘천시,강원도 춘천시 삼천동 60-1,4211012500,,,N,,150,강원도담당자,19950327,N,수도과,033-250-4972,,,,2018,4/4,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2018-11-15
4385,PUB_2323,구사약수,42130E060000001,강원,,,강원도,원주시,강원도 원주시 귀래면 154,4213036000,,,N,,100,강원도담당자,19960401,N,환경과,033-747-3055,,,,2018,4/4,검사,,적합,22,0,0,,불검출,0,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2018-11-26
4386,PUB_2325,우두산샘물,42130E060000003,강원,,,강원도,원주시,강원도 원주시 우산동 7,4213011100,,,N,,250,강원도담당자,19960401,N,환경과,033-747-3055,,,,2018,4/4,검사,,적합,22,0,0,,불검출,0,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2018-11-26
4387,PUB_2326,현충탑약수터,42130E060000004,강원,,,강원도,원주시,강원도 원주시 태장동 124-4,4213011200,,,N,,350,강원도담당자,19960401,N,환경과,033-747-3055,,,,2018,4/4,검사,,적합,22,0,0,,불검출,0,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2018-11-26
4388,PUB_2327,보현사약수터,42130E060000005,강원,,,강원도,원주시,강원도 원주시 태장동 191,4213011200,,,N,,200,강원도담당자,19960401,N,환경과,033-747-3055,,,,2018,4/4,검사,,적합,22,0,0,,불검출,0,,,,,,,,,,,,,,,0,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2018-11-26
4389,PUB_2328,구룡골약수,42130E060000006,강원,,,강원도,원주시,강원도 원주시 태장동 19,4213011200,,,N,,250,강원도담당자,19960401,N,환경과,033-747-3055,,,,2018,4/4,검사,,적합,22,0,0,,불검출,0,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2018-11-26
4390,PUB_2329,국형사약수,42130E060000007,강원,,,강원도,원주시,강원도 원주시 행구동 98,4213011400,,,N,,450,강원도담당자,19960401,N,환경과,033-747-3055,,,,2018,4/4,검사,,적합,22,0,0,,불검출,0,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2018-11-26
4391,PUB_2331,밤나무골약수,42130E060000009,강원,,,강원도,원주시,강원도 원주시 봉산동 96-2,4213011300,,,N,,150,강원도담당자,19991101,N,환경과,033-747-3055,,,,2018,4/4,검사,,적합,22,0,0,,불검출,0,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2018-11-26
4392,PUB_2335,경월샘터,42150E060000003,강원,,,강원도,강릉시,강원도 강릉시 회산동 81,4215011700,,,N,,120,강원도담당자,19960323,N,상수도과,033-640-4440,,,,2018,4/4,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2018-12-11
4393,PUB_2336,회산샘터,42150E060000004,강원,,,강원도,강릉시,강원도 강릉시 회산동 236,4215011700,,,N,,50,강원도담당자,19960323,N,상수도과,033-640-4440,,,,2018,4/4,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2018-12-11
4394,PUB_2338,토골,42170E060000001,강원,,,강원도,동해시,강원도 동해시 천곡동 ,4217010100,,,N,,300,강원도담당자,19800101,N,맑은물보전센터,033-530-2677,,,,2018,4/4,검사,,적합,22,0,0,,불검출,0,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2018-11-12
4395,PUB_2339,항골,42170E060000002,강원,,,강원도,동해시,강원도 동해시 천곡동 ,4217010100,,,N,,30,강원도담당자,19750101,N,맑은물보전센터,033-530-2677,,,,2018,4/4,검사,,부적합,18,4,0,,검출,0,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,, 총대장균군(검출),샘터주변 청소(재검 결과 적합),2018-11-12
4396,PUB_2340,단병,42170E060000003,강원,,,강원도,동해시,강원도 동해시 망상동 3,4217012900,,,N,,300,강원도담당자,19690101,N,맑은물보전센터,033-530-2677,,,,2018,4/4,검사,,부적합,18,4,0,,검출,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,, 총대장균군(검출),자외선살균장치 설치(재검 결과 적합),2018-11-12
